Category,Line,Target λ (μm),Matched λ (μm),Intensity (MJy/sr),Error (MJy/sr)
PAHs,PAH 6.2,6.2,6.200332816947927,1365.219746907552,21.945996643136773
PAHs,PAH 7.7,7.7,7.69998684376567,1637.0123490314095,19.48187120329995
PAHs,PAH 8.6,8.6,8.599650954751388,1145.4608204121491,15.26257072386108
PAHs,PAH 11.3,11.3,11.299726285677915,2123.961495535714,19.902724678610195
PAHs,PAH 12.7,12.7,12.699652218135682,1649.023417154948,14.821773699607618
PAHs,PAH 16.4,16.4,16.39946334956206,2508.3099161783853,27.77625499219518
PAHs,PAH 17.4,17.4,17.400675605834127,2856.0936618381074,29.640604297980527
H₂,H₂(1),17.035,17.034138440761552,3200.617716471354,32.96492135125106
H₂,H₂(2),12.279,12.278995471642995,1536.5876600477432,13.858100487335825
H₂,H₂(3),9.664,9.66393714987361,714.2828792649873,11.239234387363332
H₂,H₂(4),8.025,8.024901138911156,1280.6219258211097,15.312450225640873
H₂,H₂(5),6.909,6.909201310470751,799.0112228393555,13.650025889164738
H₂,H₂(6),6.108,6.108231129562842,453.30841149224176,15.445673698532833
H₂,H₂(7),5.511,5.510751177517977,204.95858519754293,15.353785844855919
H₂,H₂(8),5.052,5.051817128411103,98.88416883680556,13.501416492718693
Neon,Ne(II),12.81354,12.81281134292319,19165.044813368055,149.38639384926518
Neon,Ne(III),15.55505,15.555689875603044,3462.5335150824653,35.855908798766706
Neon,Ne(V)(3P2-3P1),14.32168,14.320779681598225,1445.3545769585503,11.33854878339239
Neon,Ne(V)(3P1-3P0),24.3175,24.319372076330616,6985.294189453125,85.57654698980066
Neon,Ne(VI),7.6524,7.652656808646052,1819.654428910236,19.051878058126768
Iron,Fe(III),22.925,22.92407175736967,6476.38037109375,72.54391795684961
Iron,Fe(II)(a6D7/2-a6D9/2),25.98839,25.990191205496938,9485.86181640625,125.28185999164877
Iron,Fe(II)(a4F9/2-a6D9/2),5.340169,5.33993009920547,527.7588451997733,17.56790128832175
Sulfur,S(III),18.71303,18.71258445054579,13018.537841796875,185.56835686376598
Sulfur,S(IV),10.51049,10.510465970304825,723.5429600306919,8.992669632933302
Argon,Ar(II),6.985274,6.985559119670351,7965.809068467882,58.81911706007922
Argon,Ar(III),8.99138,8.991083137092012,1019.3745715082908,12.629629410053994
Magnesium,Mg(V),5.6098,5.609937384992256,230.60206731160483,13.0268534601019
Magnesium,Mg(VII),5.5033,5.5036664323345095,150.1955737832152,16.08001061964645
Other,Cl(II),14.3678,14.367519320097413,1741.1237657335068,13.277677647864435
Other,O(IV),25.8903,25.88982397865656,8586.904296875,111.47988250986403
Other,Co(III),16.391,16.392083406641135,2448.982611762153,27.515794677795117
